2022-02-02/21:08:05		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:06		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:07		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:08		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:09		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:10		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:11		 wafer_21012020_080913.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:12		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:13		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:14		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:15		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:15		 wafer_23012020_041211.csv: File loaded successfully!!
2022-02-02/21:08:15		 wafer_23012020_041211.csv: File loaded successfully!!
